epoch,time,duration,event
141.0,23:32:04,1.0,PLM - Periodic - 1
141.0,23:32:24,0.2,PLM - Periodic - 1
142.0,23:32:27,30.0,Sleep_stage_N2
143.0,23:32:57,30.0,Sleep_stage_N2
143.0,23:33:26,1.0,PLM - Periodic - 1
144.0,23:33:27,30.0,Sleep_stage_N2
144.0,23:33:40,1.0,PLM - Periodic - 1
145.0,23:33:57,30.0,Sleep_stage_N2
145.0,23:34:14,1.0,PLM - Periodic - 1
146.0,23:34:27,30.0,Sleep_stage_N2
146.0,23:34:31,0.7,PLM - Periodic - 1
146.0,23:34:51,1.2,PLM - Periodic - 1
147.0,23:34:57,30.0,Sleep_stage_N2
147.0,23:35:20,1.0,PLM - Periodic - 1
148.0,23:35:27,30.0,Sleep_stage_N2
149.0,23:35:57,30.0,Sleep_stage_N2
149.0,23:36:09,1.0,PLM - Periodic - 1
150.0,23:36:27,30.0,Sleep_stage_N2
150.0,23:36:35,1.0,PLM - Periodic - 1
150.0,23:36:46,0.8,PLM - Periodic - 1
151.0,23:36:57,30.0,Sleep_stage_N2
151.0,23:37:05,1.0,PLM - Periodic - 1
152.0,23:37:27,30.0,Sleep_stage_N2
152.0,23:37:29,1.0,PLM - Periodic - 1
153.0,23:37:57,30.0,Sleep_stage_N2
153.0,23:38:11,1.0,PLM - Periodic - 1
154.0,23:38:27,30.0,Sleep_stage_N2
154.0,23:38:31,1.5,PLM - Periodic - 1
154.0,23:38:52,1.0,PLM - Periodic - 1
155.0,23:38:57,30.0,Sleep_stage_N2
156.0,23:39:27,30.0,Sleep_stage_N2
156.0,23:39:31,1.0,PLM - Periodic - 1
156.0,23:39:51,1.0,PLM - Periodic - 1
157.0,23:39:57,30.0,Sleep_stage_N2
158.0,23:40:27,30.0,Sleep_stage_N2
158.0,23:40:31,1.0,PLM - Periodic - 1
159.0,23:40:57,30.0,Sleep_stage_N2
159.0,23:40:59,1.0,PLM - Periodic - 1
159.0,23:41:16,16.895,RespEvent - RERA - 6
159.0,23:41:18,0.3,PLM - Periodic - 1
160.0,23:41:27,30.0,Sleep_stage_R
161.0,23:41:57,30.0,Sleep_stage_R
162.0,23:42:27,30.0,Sleep_stage_R
163.0,23:42:57,30.0,Sleep_stage_R
164.0,23:43:27,30.0,Sleep_stage_R
165.0,23:43:57,30.0,Sleep_stage_R
166.0,23:44:27,30.0,Sleep_stage_R
167.0,23:44:57,30.0,Sleep_stage_R
168.0,23:45:27,30.0,Sleep_stage_R
168.0,23:45:34,25.7,RespEvent - Hypopnea - 4
169.0,23:45:57,30.0,Sleep_stage_R
170.0,23:46:27,30.0,Sleep_stage_R
171.0,23:46:57,30.0,Sleep_stage_R
172.0,23:47:27,30.0,Sleep_stage_R
173.0,23:47:57,30.0,Sleep_stage_R
174.0,23:48:27,30.0,Sleep_stage_R
174.0,23:48:29,26.2,RespEvent - RERA - 6
175.0,23:48:57,30.0,Sleep_stage_N1
176.0,23:49:27,30.0,Sleep_stage_W
177.0,23:49:57,30.0,Sleep_stage_W
178.0,23:50:27,30.0,Sleep_stage_N1
178.0,23:50:32,0.005,Position - Supine - 1
179.0,23:50:57,30.0,Sleep_stage_N1
179.0,23:51:13,1.0,PLM - Periodic - 1
180.0,23:51:27,30.0,Sleep_stage_N1
180.0,23:51:40,0.5,PLM - Periodic - 1
181.0,23:51:57,30.0,Sleep_stage_N1
181.0,23:52:05,1.0,PLM - Periodic - 1
181.0,23:52:12,1.2,PLM - Periodic - 1
182.0,23:52:27,30.0,Sleep_stage_N1
183.0,23:52:57,30.0,Sleep_stage_N1
183.0,23:52:58,1.2,PLM - Periodic - 1
183.0,23:53:22,1.0,PLM - Periodic - 1
184.0,23:53:27,30.0,Sleep_stage_N1
184.0,23:53:52,1.2,PLM - Periodic - 1
185.0,23:53:57,30.0,Sleep_stage_N1
186.0,23:54:27,30.0,Sleep_stage_N1
186.0,23:54:28,1.3,PLM - Periodic - 1
186.0,23:54:31,22.7,RespEvent - Hypopnea - 4
187.0,23:54:57,30.0,Sleep_stage_N1
187.0,23:55:24,23.2,RespEvent - Hypopnea - 4
188.0,23:55:27,30.0,Sleep_stage_N1
189.0,23:55:57,30.0,Sleep_stage_N1
189.0,23:56:09,21.4,RespEvent - RERA - 6
190.0,23:56:27,30.0,Sleep_stage_N1
190.0,23:56:53,24.0,RespEvent - Hypopnea - 4
191.0,23:56:57,30.0,Sleep_stage_N1
192.0,23:57:27,30.0,Sleep_stage_N1
193.0,23:57:57,30.0,Sleep_stage_N1
193.0,23:58:14,21.0,RespEvent - RERA - 6
194.0,23:58:27,30.0,Sleep_stage_N1
194.0,23:58:49,22.0,RespEvent - RERA - 6
195.0,23:58:57,30.0,Sleep_stage_N1
195.0,23:59:22,26.2,RespEvent - Hypopnea - 4
196.0,23:59:27,30.0,Sleep_stage_N1
197.0,23:59:57,30.0,Sleep_stage_N2
197.0,23:59:59,30.5,RespEvent - Hypopnea - 4
198.0,00:00:27,30.0,Sleep_stage_N2
199.0,00:00:57,30.0,Sleep_stage_N2
